LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha,AvgBeta,AvgGamma,PrevAlpha1,PrevBeta1,PrevGamma1,PrevAlpha2,PrevBeta2,PrevGamma2,PrevAlpha3,PrevBeta3,PrevGamma3,PrevAlpha4,PrevBeta4,PrevGamma4,PrevAlpha5,PrevBeta5,PrevGamma5,focus
910.3469107,0.374945937,688.1180767,0.055211212,691.7534181,0.046594817,865.1776606,0.159739218,1624.11318,0.655262391,1137.171709,0.269863144,799.2324937,778.4655394,1380.642445,681.3362038,783.4496618,1106.591005,661.4063132,746.1374142,1006.262797,716.7008277,739.9278692,730.51222,612.1996578,716.7779206,743.2389265,594.0115249,732.4502671,704.0097021,1
924.3084828,-0.560742943,638.7362858,0.540983825,750.8278837,1.856425632,944.0210964,0.839496752,1716.684327,0.343225365,1217.691346,0.011361138,781.5223843,847.42449,1467.187837,799.2324937,778.4655394,1380.642445,681.3362038,783.4496618,1106.591005,661.4063132,746.1374142,1006.262797,716.7008277,739.9278692,730.51222,612.1996578,716.7779206,743.2389265,1
975.4096686,1.58208548,721.9240918,0.983426614,578.8276354,-0.698472313,890.4505701,0.467799079,1872.908421,0.128992638,1321.771038,0.110648584,848.6668802,734.6391028,1597.339729,781.5223843,847.42449,1467.187837,799.2324937,778.4655394,1380.642445,681.3362038,783.4496618,1106.591005,661.4063132,746.1374142,1006.262797,716.7008277,739.9278692,730.51222,1
833.5740831,0.786108514,534.1581045,0.135656561,589.9541308,-0.582455964,881.2316694,0.094946926,1889.673042,0.476519557,1344.349696,0.097811745,683.8660938,735.5929001,1617.011369,848.6668802,734.6391028,1597.339729,781.5223843,847.42449,1467.187837,799.2324937,778.4655394,1380.642445,681.3362038,783.4496618,1106.591005,661.4063132,746.1374142,1006.262797,1
761.0267493,-0.256570911,542.7136762,-0.721746731,519.2783911,1.018606637,832.9847416,-0.313471157,1793.409008,-0.471876309,1285.41162,-0.618396477,651.8702128,676.1315663,1539.410314,683.8660938,735.5929001,1617.011369,848.6668802,734.6391028,1597.339729,781.5223843,847.42449,1467.187837,799.2324937,778.4655394,1380.642445,681.3362038,783.4496618,1106.591005,1
831.595349,-1.468327119,716.5305198,-2.067286773,614.4716922,-0.598911239,809.4714203,0.21430052,2052.643188,0.740663736,1481.565135,0.145076431,774.0629344,711.9715563,1767.104162,651.8702128,676.1315663,1539.410314,683.8660938,735.5929001,1617.011369,848.6668802,734.6391028,1597.339729,781.5223843,847.42449,1467.187837,799.2324937,778.4655394,1380.642445,1
554.4265192,-1.63648047,586.5135145,0.674701457,608.3824332,0.513629357,834.540059,-0.108398362,2129.232253,0.3255962,1597.338002,0.481693163,570.4700169,721.4612461,1863.285127,774.0629344,711.9715563,1767.104162,651.8702128,676.1315663,1539.410314,683.8660938,735.5929001,1617.011369,848.6668802,734.6391028,1597.339729,781.5223843,847.42449,1467.187837,1
579.6392027,0.752976933,744.0091536,1.73041979,647.0492809,-0.892449079,892.5277744,0.230821167,2120.190099,-0.127967351,1565.990214,-0.260374176,661.8241781,769.7885277,1843.090156,570.4700169,721.4612461,1863.285127,774.0629344,711.9715563,1767.104162,651.8702128,676.1315663,1539.410314,683.8660938,735.5929001,1617.011369,848.6668802,734.6391028,1597.339729,1
606.9857052,-0.498781758,703.9184687,0.306033683,739.7404952,-0.172479848,837.4673393,-0.199634412,2068.989391,0.176437529,1581.642614,0.164014777,655.4520869,788.6039173,1825.316003,661.8241781,769.7885277,1843.090156,570.4700169,721.4612461,1863.285127,774.0629344,711.9715563,1767.104162,651.8702128,676.1315663,1539.410314,683.8660938,735.5929001,1617.011369,1
579.5599551,-0.203097996,781.7410865,-2.078587743,902.9530589,-1.651302118,1100.71827,-0.191734394,2081.772156,-0.153847628,1674.65113,-0.128147682,680.6505208,1001.835664,1878.211643,655.4520869,788.6039173,1825.316003,661.8241781,769.7885277,1843.090156,570.4700169,721.4612461,1863.285127,774.0629344,711.9715563,1767.104162,651.8702128,676.1315663,1539.410314,1
