LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
1251.434761,-1.326131534,487.7375543,1.001840874,839.8396058,-0.730545608,1032.155167,0.303381088,871.580297,-0.415008079,873.1540237,0.198061763,1
1436.211543,0.518716338,483.3242644,-0.345334944,916.1108791,-0.176279427,1074.39015,0.313310499,897.6683763,-0.709205612,928.2989961,-0.472419676,1
1389.115456,-0.071679925,660.0755976,0.447720873,988.7385568,-0.806657187,1142.457217,0.49041465,859.235052,0.065654809,931.8288726,-0.212353966,1
942.8303711,-0.326826313,1186.92456,-1.315535589,984.6823805,-1.478723448,1182.016104,0.530490129,836.508247,-0.132105346,923.0827665,-0.208807234,1
945.4171777,-1.113971461,1301.290465,-0.897283044,975.2551918,-0.852519909,1167.920874,-0.854588261,815.2463257,-0.433330721,958.6372523,0.296406978,1
920.9254713,0.852408418,1274.024846,-0.590825411,1043.87187,1.11466393,1125.892243,0.333679335,835.266211,-0.498609851,933.1006213,-0.229515635,1
912.6434214,-0.142658552,1304.472903,-0.001799449,1013.884007,-0.573424844,1048.685372,-0.037348084,1151.588048,0.192913715,1054.227146,-0.087074179,1
840.5264659,-1.062928021,1337.617038,0.700566368,954.4588788,0.126735092,966.8005637,-0.79547691,991.3263093,0.640434356,945.893464,0.24838567,1
725.3421723,0.799881252,1364.372474,-0.542077976,776.9733629,-1.388489395,1072.08693,0.104125486,829.7801995,-0.402538965,929.7964952,-1.049439599,1
667.4407662,-0.193729582,1411.480805,0.130410308,638.3163586,0.361266199,1161.982034,-0.777019621,1031.054864,0.267856898,1025.68879,0.171103663,1
748.9903657,-0.942543639,1281.820581,0.584380781,676.4407604,-1.082794779,1123.556067,-1.361994165,1077.744319,0.834093637,1019.34215,0.646561921,1
1072.615761,1.73422275,1605.55166,1.674700333,867.3024353,0.160964346,1000.990214,-0.186465834,1082.777053,0.624812326,1057.972685,0.279984825,1
1079.752643,0.632256583,1078.828662,0.258520528,718.1490406,-0.471672012,977.8098417,-0.719280378,1039.428405,-0.165459894,1015.994966,-0.692591219,1
741.2946751,-0.350370582,986.1320857,0.757270481,748.6560355,0.142018905,912.4280998,0.382652808,993.9524418,-0.02054832,948.3463105,-0.137222435,1
