LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
290.361658,0.292703739,528.9745269,0.274164114,373.1863989,-0.458911608,362.9185864,0.155585622,256.1551516,1.006201727,299.2465521,0.658156888,0
293.3941596,-0.058950995,474.8726307,1.187845082,349.0980454,-0.61842588,307.9668356,-0.573972136,222.0293197,0.872918678,241.3125843,0.328956279,0
389.4349166,2.005828122,471.612442,-0.133362235,362.0283207,-0.364915884,330.5309752,0.579305864,227.8167638,-0.201664755,240.0602437,-0.410543375,0
286.4997672,-2.668344099,532.2486846,0.407917391,360.6621251,0.603156389,334.2541357,0.291756676,240.1279522,-0.090640265,271.7349285,0.411609385,0
461.4628638,0.008957853,521.6536774,-1.007792304,355.906193,0.106503123,339.4135759,-0.658216653,214.5660162,-0.086498511,265.1300457,0.229791549,0
903.5074754,2.591504629,539.8538586,-0.536037203,376.5333236,-0.416390006,317.8883787,-0.057074395,216.5120227,0.07657338,261.0848845,0.369006517,0
578.7723238,0.627793249,569.7552709,0.381288925,344.8498426,0.012058411,385.8343915,0.468457033,221.6066372,-0.939435919,284.8268188,-0.698391144,0
505.3575515,-0.436465032,572.7129326,0.675874691,570.2735619,1.793945867,284.8940424,0.163255471,249.1772221,-1.364054715,311.9740691,-1.005643447,0
564.4763702,-2.172807461,625.3602709,-0.585466665,373.9788799,-1.20825613,274.8528687,-0.621429301,208.1435448,-1.33776198,283.2924359,-0.796908585,0
587.7225827,1.377056825,629.6888275,0.291430532,369.3598453,-0.496417142,276.4878785,0.447258982,189.0268373,-0.208242988,291.4370977,0.022860339,0
527.5157743,-0.568289827,597.8575481,0.638108553,356.6108215,0.060355464,267.1372701,-0.751576809,194.498547,-0.710888699,287.9119635,-0.131182858,0
512.7955826,-1.174798251,588.4968318,1.040594699,365.1749036,0.732086248,276.7239671,0.973759918,195.1840557,0.327469106,286.9814057,0.042628125,0
746.4250722,-2.014873423,701.042835,-0.339061486,499.8708396,-2.117037487,266.8642015,-0.903887423,159.6082897,0.524629525,276.3330943,-0.158320076,0
386.8164315,1.94015243,541.3005459,-2.129971038,325.0878962,0.516832313,221.9997086,-0.272988543,146.4436495,-1.004043463,254.163795,-1.325628849,0
547.7207634,1.024122785,455.2766427,-1.557210213,353.2149606,-0.168131019,208.9076495,-0.068283518,159.0962091,0.227321646,247.2724781,0.229800707,0
656.3091657,-0.11744961,525.7628012,-0.71546939,347.6358388,0.424155561,241.9903061,-0.768789575,200.7930836,0.162636174,255.0198883,0.701973789,0
431.974699,-0.950362938,302.730855,0.036760081,318.898722,-0.850198741,255.9497761,-0.291467061,261.4479065,0.04955584,252.3842573,0.022244882,0
286.546837,1.219524873,255.1335675,0.669522576,270.0274337,-0.373121651,235.0289318,-0.409826426,255.9406204,0.328557139,259.4898972,-0.19735872,0
282.9541711,0.335035254,242.5493417,-0.676564872,229.1711803,0.551093784,264.0904474,-0.634836089,269.811379,-0.165391256,268.9513901,0.416899853,0
294.6241079,-0.840893863,194.9539608,0.541173286,282.0905355,-1.101977574,269.6352813,0.348006294,290.1038872,0.070685089,286.6924439,0.742615988,0
340.4231582,1.159543692,235.1317188,1.378143313,257.8024707,-0.562056357,272.1400729,0.347774403,305.5814395,-0.089711767,295.9090055,-0.50151973,0
335.1098672,0.381976075,166.6518274,-0.009488309,238.0376666,1.118716713,290.3996921,0.031859199,314.0576154,-0.405210551,308.6758591,0.165681188,0
320.8814768,-2.051848155,173.3199874,-0.456297181,229.3985399,0.585558764,244.8046315,-0.917232383,288.9566774,-0.037786853,297.2147316,0.210056302,0
371.5364105,1.560386868,263.6764261,0.54995667,245.087305,1.285322519,263.433861,-0.441064994,336.124302,-0.340247274,325.8580629,0.116011213,0
288.5222412,-0.193043406,232.8694076,-1.260549104,309.7981605,-1.637737243,290.9367703,-0.404999935,329.5759342,-0.525414696,330.1883451,-0.191727292,0
288.5513949,-1.326557231,261.3004283,-1.404467622,274.7292025,1.113357476,268.5921247,-0.136970542,322.9533426,0.038610394,323.8780791,0.092638837,0
313.3403311,-1.977567273,364.9057731,-0.720230497,281.669942,0.624080062,271.4266968,0.485663322,315.7551423,0.222697324,321.403209,0.436200993,0
271.8532413,2.392704645,303.6302909,1.608531529,298.0546076,0.135491804,265.060763,0.219131065,314.662677,0.478359235,289.7086316,0.972964976,0
213.5730665,-0.897133997,246.6172774,0.76085807,295.4749331,-0.590461479,247.6979415,-0.106296241,289.1765899,0.512345034,252.4407333,0.414577032,0
322.6783033,1.525931218,261.994257,-1.226984656,318.17173,0.091149082,261.8526289,-0.070534516,291.347923,-0.344324233,246.7684754,-0.533584968,0
